	Depth（nm）	Load（mN）			Depth（nm）	Load（mN）			Depth（nm）	Load（mN）				点位	时间	Depth（nm）	Load（mN）			Depth（nm）	Load1（mN）	Load2（mN）	Load3（mN）
0.589288	845.515755	4.7449		1.195026	975.141704	11.21357		0.683353	874.760083	5.89622				1#	1.970139	1748.058544	18.53205		1.970139	1748.058544	18.53205	18.78039	18.78039
0.644751	886.982501	5.29564		1.251919	1007.735983	11.78362		0.742871	918.245378	6.49031				1#	2.029571	1782.754454	19.13646		2.029571	1782.754454	19.13646	19.32171	19.32171
0.71016	935.442787	5.93943		1.309248	1034.402181	12.35467		0.793906	950.957335	7.03528				1#	2.08564	1815.429049	19.70046		2.08564	1815.429049	19.70046	19.85412	19.85412
0.766712	981.654544	6.51114		1.36893	1057.204749	12.94549		0.850975	984.702866	7.57702				1#	2.142842	1849.208864	20.30248		2.142842	1849.208864	20.30248	20.44663	20.44663
0.827667	1033.155273	7.09224		1.419126	1073.665202	13.48558		0.909089	1018.353672	8.15662				1#	2.195847	1881.76998	20.81692		2.195847	1881.76998	20.81692	21.01316	21.01316
0.889332	1087.488674	7.70515		1.47468	1090.775898	14.0157		0.969337	1052.178114	8.74802				1#	2.255344	1916.179068	21.38232		2.255344	1916.179068	21.38232	21.59124	21.59124
0.948657	1137.330263	8.32065		1.534115	1108.342826	14.59411		1.029485	1084.348056	9.34748				1#	2.315389	1951.380723	21.98529		2.315389	1951.380723	21.98529	22.19986	22.19986
1.004531	1179.521596	8.89534		1.592177	1126.020669	15.17961		1.08927	1115.403428	9.94605				1#	2.375702	1986.517156	22.58785		2.375702	1986.517156	22.58785	22.80316	22.80316
1.068118	1222.481216	9.47274		1.650761	1142.803796	15.7591		1.154773	1146.868873	10.60994				1#	2.436881	2020.499807	23.19426		2.436881	2020.499807	23.19426	23.40436	23.40436
1.12831	1258.676198	10.11329		1.711179	1160.585827	16.35542		1.218271	1176.921422	11.26197				1#	2.496855	2053.403828	23.79845		2.496855	2053.403828	23.79845	24.00544	24.00544
1.191256	1294.675269	10.77366		1.771125	1178.224159	16.96056		1.278158	1205.712712	11.84674				1#	2.557083	2086.436347	24.40246		2.557083	2086.436347	24.40246	24.60864	24.60864
1.247716	1327.233705	11.33325		1.831701	1196.684255	17.56734		1.338542	1234.057452	12.43434				1#	2.617778	2119.097861	25.00637		2.617778	2119.097861	25.00637	25.20683	25.20683
1.30769	1361.559655	11.90423		1.893058	1216.151788	18.18063		1.395028	1260.878854	13.02365				1#	2.6779	2150.80023	25.60704		2.6779	2150.80023	25.60704	25.76404	25.76404
1.367887	1395.201255	12.50608		1.952165	1234.954668	18.78039		1.453874	1287.395555	13.59966				1#	2.73795	2182.44844	26.21254		2.73795	2182.44844	26.21254	26.3333	26.3333
1.429048	1429.995003	13.12072		2.003025	1251.731163	19.32171		1.512766	1314.057932	14.19112				1#	2.791364	2209.247305	26.76937		2.791364	2209.247305	26.76937	26.89176	26.89176
1.489769	1464.990495	13.72942		2.05865	1271.22621	19.85412		1.572914	1342.664718	14.78309				1#	2.852009	2240.050188	27.34879		2.852009	2240.050188	27.34879	27.46412	27.46412
1.550391	1499.646504	14.33346		2.118989	1291.03316	20.44663		1.633033	1370.20189	15.38357				1#	2.912338	2269.897594	27.95437		2.912338	2269.897594	27.95437	28.0393	28.0393
1.611169	1534.948083	14.93816		2.174513	1309.686547	21.01316		1.692851	1397.678981	15.99215				1#	2.97237	2299.184354	28.55447		2.97237	2299.184354	28.55447	28.62556	28.62556
1.673804	1572.593879	15.54509		2.235177	1330.534472	21.59124		1.751379	1424.18697	16.57459				1#	3.033386	2329.205537	29.15803		3.033386	2329.205537	29.15803	29.20143	29.20143
1.725217	1603.413613	16.11946		2.295187	1350.483311	22.19986		1.81243	1451.323308	17.17336				1#	3.094474	2358.579829	29.77432		3.094474	2358.579829	29.77432	29.77647	29.77647
1.787801	1641.663887	16.68693		2.355826	1370.422852	22.80316		1.8722	1477.511904	17.7792				1#	3.153905	2387.219447	30.37388		3.153905	2387.219447	30.37388	30.36232	30.36232
