	Depth（nm）	Load（mN）			Depth（nm）	Load（mN）			Depth（nm）	Load（mN）				点位	时间	Depth（nm）	Load（mN）			Depth（nm）	Load1（mN）	Load2（mN）	Load3（mN）
42.582527	6796.168055	424.66634		43.097095	4728.373337	430.22		42.73596	6301.310881	426.41233				1#	43.969741	6854.399275	438.51161		43.969741	6854.399275	438.51161	438.11336	438.11336
42.645737	6799.576364	425.28801		43.159853	4730.665309	430.8555		42.798938	6304.328897	427.04643				1#	44.032776	6857.217367	439.16274		44.032776	6857.217367	439.16274	438.71484	438.71484
42.707396	6802.833875	425.92434		43.219587	4732.754665	431.45747		42.861958	6306.565779	427.66742				1#	44.091946	6859.822533	439.76702		44.091946	6859.822533	439.76702	439.29653	439.29653
42.768081	6804.975849	426.52126		43.279538	4735.037848	432.05536		42.915991	6308.714565	428.25267				1#	44.155617	6861.509309	440.38692		44.155617	6861.509309	440.38692	439.90555	439.90555
42.828276	6807.620149	427.12558		43.342835	4737.353631	432.68356		42.971068	6310.749591	428.80642				1#	44.219038	6863.819473	441.03025		44.219038	6863.819473	441.03025	440.52122	440.52122
42.888599	6810.204998	427.72485		43.399566	4739.524312	433.26421		43.034137	6313.258957	429.39564				1#	44.277276	6866.015346	441.64812		44.277276	6866.015346	441.64812	441.13363	441.13363
42.951529	6812.843663	428.34776		43.462904	4741.739788	433.88354		43.09393	6315.683944	430.02707				1#	44.331098	6867.874201	442.17695		44.331098	6867.874201	442.17695	441.71508	441.71508
43.009566	6815.552576	428.94759		43.522195	4744.693354	434.48779		43.151308	6318.773658	430.60728				1#	44.391067	6870.597935	442.75254		44.391067	6870.597935	442.75254	442.27244	442.27244
43.063149	6817.713672	429.50532		43.584754	4747.274808	435.09793		43.209201	6321.230596	431.16732				1#	44.446543	6873.117436	443.34005		44.446543	6873.117436	443.34005	442.87312	442.87312
43.119258	6819.389233	430.05679		43.638259	4749.276952	435.66749		43.273267	6323.67473	431.79298				1#	44.497619	6874.961062	443.85155		44.497619	6874.961062	443.85155	443.50353	443.50353
43.178697	6822.391883	430.66268		43.698652	4751.316355	436.24358		43.331314	6326.03995	432.38948				1#	44.549908	6876.915874	444.36662		44.549908	6876.915874	444.36662	444.11189	444.11189
43.233178	6824.505098	431.19516		43.762462	4752.988607	436.87497		43.389806	6328.608278	432.97426				1#	44.604517	6879.50531	444.91808		44.604517	6879.50531	444.91808	444.71318	444.71318
43.293945	6827.423766	431.79108		43.826217	4755.449278	437.51274		43.448178	6330.838853	433.55575				1#	44.659195	6881.474053	445.46527		44.659195	6881.474053	445.46527	445.33873	445.33873
43.356544	6829.420214	432.39603		43.884724	4757.502622	438.11336		43.508578	6332.73276	434.15591				1#	44.717411	6883.70551	446.02317		44.717411	6883.70551	446.02317	445.95663	445.95663
43.419745	6831.717195	433.03475		43.945346	4759.88704	438.71484		43.56676	6334.878777	434.74046				1#	44.78214	6886.144107	446.65615		44.78214	6886.144107	446.65615	446.52576	446.52576
43.475787	6833.402426	433.62674		44.00242	4761.797596	439.29653		43.62989	6337.380232	435.35275				1#	44.843282	6888.683754	447.2736		44.843282	6888.683754	447.2736	447.12699	447.12699
43.531861	6836.066759	434.17124		44.065309	4763.994755	439.90555		43.690699	6339.871767	435.99217				1#	44.905167	6891.177257	447.88717		44.905167	6891.177257	447.88717	447.82649	447.82649
43.595891	6838.784883	434.78794		44.126541	4766.012489	440.52122		43.747489	6342.104598	436.55511				1#	44.961973	6893.493474	448.49157		44.961973	6893.493474	448.49157	448.41643	448.41643
43.658997	6841.0899	435.43593		44.187505	4768.19507	441.13363		43.812248	6344.913077	437.18104				1#	45.01802	6895.657419	449.03557		45.01802	6895.657419	449.03557	449.04333	449.04333
43.71948	6843.730378	436.03155		44.242437	4770.247579	441.71508		43.876155	6347.007157	437.82131				1#	45.080777	6897.724199	449.65685		45.080777	6897.724199	449.65685	449.57255	449.57255
43.781518	6846.111955	436.66355		44.300375	4772.323854	442.27244		43.934704	6349.603563	438.41591				1#	45.141703	6900.115434	450		45.141703	6900.115434	450	450	450
43.842272	6848.498273	437.26677		44.361329	4774.257153	442.87312		43.999077	6352.681427	439.04704				1#	45.141704	6902.396255	450		45.141704	6902.396255	450	450	450
43.903721	6851.393371	437.87298		44.4251	4777.127455	443.50353		44.063668	6355.084135	439.69211				1#	45.187561	6903.902607	450		45.187561	6903.902607	450	450	450
43.969741	6854.399275	438.51161		44.484266	4778.79043	444.11189		44.125335	6357.416369	440.32056				1#	45.242176	6905.443102	450		45.242176	6905.443102	450	450	450
44.032776	6857.217367	439.16274		44.546754	4781.308508	444.71318		44.18073	6360.639241	440.91074				1#	45.294281	6906.620335	450		45.294281	6906.620335	450	450	450
44.091946	6859.822533	439.76702		44.608324	4783.436773	445.33873		44.231814	6363.107068	441.42232				1#	45.348313	6907.893224	450		45.348313	6907.893224	450	450	450
44.155617	6861.509309	440.38692		44.669509	4785.439393	445.95663		44.283184	6364.965847	441.93335				1#	45.40304	6909.439303	450		45.40304	6909.439303	450	450	450
44.219038	6863.819473	441.03025		44.725051	4787.367182	446.52576		44.335145	6367.642042	442.4553				1#	45.457463	6910.509601	450		45.457463	6910.509601	450	450	450
44.277276	6866.015346	441.64812		44.788963	4789.887066	447.12699		44.386067	6369.179763	442.96655				1#	45.511935	6911.65978	450		45.511935	6911.65978	450	450	450
44.331098	6867.874201	442.17695		44.856804	4791.799779	447.82649		44.437389	6371.45197	443.47533				1#	45.565256	6913.0989	450		45.565256	6913.0989	450	450	450
44.391067	6870.597935	442.75254		44.916667	4794.23504	448.41643		44.49186	6373.549409	444.00683				1#	45.61939	6914.730261	450		45.61939	6914.730261	450	450	450
44.446543	6873.117436	443.34005		44.975295	4795.329571	449.04333		44.552366	6375.510615	444.585				1#	45.679381	6915.573799	450		45.679381	6915.573799	450	450	450
44.497619	6874.961062	443.85155		45.029563	4797.071978	449.57255		44.615397	6378.217436	445.20722				1#	45.733236	6916.758053	450		45.733236	6916.758053	450	450	450
44.549908	6876.915874	444.36662		45.093287	4799.682766	450		44.677302	6381.34316	445.84565				1#	45.7875	6918.228434	450		45.7875	6918.228434	450	450	450
44.604517	6879.50531	444.91808		45.093288	4801.798749	450		44.736178	6383.121387	446.43541				1#	45.841985	6919.596174	450		45.841985	6919.596174	450	450	450
44.659195	6881.474053	445.46527		45.139537	4803.00332	450		44.798937	6386.104522	447.04783				1#	45.895461	6920.243474	450		45.895461	6920.243474	450	450	450
44.717411	6883.70551	446.02317		45.192357	4803.893782	450		44.86245	6388.589721	447.68444				1#	45.949347	6921.479924	450		45.949347	6921.479924	450	450	450
44.78214	6886.144107	446.65615		45.244562	4804.664506	450		44.921709	6390.922201	448.29217				1#	46.001554	6922.626819	450		46.001554	6922.626819	450	450	450
44.843282	6888.683754	447.2736		45.295203	4805.812459	450		44.985115	6393.082696	448.91221				1#	46.051817	6923.807585	450		46.051817	6923.807585	450	450	450
44.905167	6891.177257	447.88717		45.349801	4806.916544	450		45.041283	6395.486828	449.49134				1#	46.104907	6925.816665	450		46.104907	6925.816665	450	450	450
44.961973	6893.493474	448.49157		45.403392	4808.067809	450		45.105214	6398.100933	450				1#	46.360744	6929.233174	449.99999		46.360744	6929.233174	449.99999	449.99999	449.99999
45.01802	6895.657419	449.03557		45.456537	4808.593108	450		45.105215	6400.736678	450				1#	46.408218	6929.42595	449.52226		46.408218	6929.42595	449.52226	449.52846	449.52846
45.080777	6897.724199	449.65685		45.510173	4809.549738	450		45.15159	6402.038572	450				1#	46.461666	6930.451584	448.99317		46.461666	6930.451584	448.99317	449.00216	449.00216
45.141703	6900.115434	450		45.568997	4810.032914	450		45.203059	6403.412138	450				1#	46.517035	6930.35571	448.46052		46.517035	6930.35571	448.46052	448.41439	448.41439
45.141704	6902.396255	450		45.621838	4811.358292	450		45.251885	6404.844374	450				1#	46.57252	6930.587293	447.93232		46.57252	6930.587293	447.93232	447.80063	447.80063
45.187561	6903.902607	450		45.675328	4812.610872	450		45.304166	6406.060957	450				1#	46.636184	6930.826141	447.3086		46.636184	6930.826141	447.3086	447.20211	447.20211
45.242176	6905.443102	450		45.728914	4813.597342	450		45.359615	6407.217451	450				1#	46.697058	6931.497931	446.68187		46.697058	6931.497931	446.68187	446.66628	446.66628
45.294281	6906.620335	450		45.782301	4813.749077	450		45.413723	6408.777477	450				1#	46.758638	6931.246962	446.06796		46.758638	6931.246962	446.06796	446.13397	446.13397
45.348313	6907.893224	450		45.836167	4814.1666	450		45.467537	6409.851379	450				1#	46.81236	6931.494781	445.52795		46.81236	6931.494781	445.52795	445.60273	445.60273
45.40304	6909.439303	450		45.892483	4815.074305	450		45.521742	6411.36398	450				1#	46.867226	6931.93244	444.98302		46.867226	6931.93244	444.98302	445.06111	445.06111
45.457463	6910.509601	450		45.946512	4815.823625	450		45.57714	6412.4925	450				1#	46.928558	6931.50433	444.36302		46.928558	6931.50433	444.36302	444.51886	444.51886
45.511935	6911.65978	450		46.000933	4816.455185	450		45.635331	6413.901078	450				1#	46.98325	6932.185063	443.82104		46.98325	6932.185063	443.82104	443.97487	443.97487
45.565256	6913.0989	450		46.054791	4817.364224	450		45.683901	6414.55352	450				1#	47.045582	6932.323442	443.19701		47.045582	6932.323442	443.19701	443.4218	443.4218
45.61939	6914.730261	450		46.297817	4819.127825	449.99999		45.734898	6416.149464	450				1#	47.107343	6932.353725	442.57488		47.107343	6932.353725	442.57488	442.89195	442.89195
45.679381	6915.573799	450		46.346025	4819.394051	449.52846		45.788609	6417.422812	450				1#	47.163878	6932.161927	441.996		47.163878	6932.161927	441.996	442.38976	442.38976
45.733236	6916.758053	450		46.398922	4819.742174	449.00216		45.842207	6418.602735	450				1#	47.218149	6931.133921	441.47789		47.218149	6931.133921	441.47789	441.83672	441.83672
45.7875	6918.228434	450		46.461244	4819.85735	448.41439		45.895411	6419.467179	450				1#	47.271958	6930.829875	440.92489		47.271958	6930.829875	440.92489	441.28926	441.28926
45.841985	6919.596174	450		46.522531	4819.924899	447.80063		45.94934	6420.822116	450				1#	47.321762	6930.867092	440.39656		47.321762	6930.867092	440.39656	440.73731	440.73731
45.895461	6920.243474	450		46.582266	4819.710343	447.20211		46.003841	6421.677479	450				1#	47.372362	6930.811985	439.89421		47.372362	6930.811985	439.89421	440.23725	440.23725
45.949347	6921.479924	450		46.63556	4819.417604	446.66628		46.066498	6423.230304	450				1#	47.426348	6931.364815	439.38894		47.426348	6931.364815	439.38894	439.70311	439.70311
46.001554	6922.626819	450		46.688818	4819.079152	446.13397		46.304816	6425.706502	449.99998				1#	47.480609	6930.976081	438.85048		47.480609	6930.976081	438.85048	439.15872	439.15872
46.051817	6923.807585	450		46.742537	4819.463766	445.60273		46.353033	6426.680579	449.52283				1#	47.535781	6931.382617	438.30804		47.535781	6931.382617	438.30804	438.60958	438.60958
46.104907	6925.816665	450		46.79703	4818.844117	445.06111		46.413189	6427.636299	448.9682				1#	47.588866	6931.650474	437.75714		47.588866	6931.650474	437.75714	438.05236	438.05236
46.360744	6929.233174	449.99999		46.851281	4818.618524	444.51886		46.474729	6427.558311	448.33761				1#	47.639137	6931.133315	437.22902		47.639137	6931.133315	437.22902	437.50582	437.50582
46.408218	6929.42595	449.52226		46.905595	4818.827282	443.97487		46.526399	6427.534594	447.8169				1#	47.693952	6930.978099	436.71369		47.693952	6930.978099	436.71369	436.97486	436.97486
46.461666	6930.451584	448.99317		46.960006	4818.242447	443.4218		46.580451	6427.569313	447.28635				1#	47.748799	6930.640337	436.16566		47.748799	6930.640337	436.16566	436.45318	436.45318
46.517035	6930.35571	448.46052		47.009966	4818.237366	442.89195		46.635493	6427.976697	446.74566				1#	47.802585	6930.870488	435.62781		47.802585	6930.870488	435.62781	435.90137	435.90137
46.57252	6930.587293	447.93232		47.064577	4817.75452	442.38976		46.695555	6428.128947	446.12984				1#	47.857442	6929.988287	435.07855		47.857442	6929.988287	435.07855	435.34957	435.34957
46.636184	6930.826141	447.3086		47.118935	4816.326711	441.83672		46.754422	6428.589529	445.54009				1#	47.912052	6929.917876	434.53276		47.912052	6929.917876	434.53276	434.80296	434.80296
46.697058	6931.497931	446.68187		47.173753	4816.27235	441.28926		46.807678	6428.697641	444.97569				1#	47.966707	6929.714771	433.98683		47.966707	6929.714771	433.98683	434.25303	434.25303
46.758638	6931.246962	446.06796		47.225046	4815.83929	440.73731		46.862274	6428.488091	444.44522				1#	48.021534	6929.814704	433.43763		48.021534	6929.814704	433.43763	433.7059	433.7059
46.81236	6931.494781	445.52795		47.27792	4815.457879	440.23725		46.917934	6428.505689	443.92244				1#	48.076966	6929.859891	432.88619		48.076966	6929.859891	432.88619	433.17985	433.17985
46.867226	6931.93244	444.98302		47.332675	4815.136368	439.70311		46.971826	6428.81531	443.37698				1#	48.131694	6929.636369	432.33768		48.131694	6929.636369	432.33768	432.67295	432.67295
46.928558	6931.50433	444.36302		47.387318	4814.91731	439.15872		47.033999	6428.891415	442.75813				1#	48.183905	6929.351161	431.7744		48.183905	6929.351161	431.7744	432.11251	432.11251
46.98325	6932.185063	443.82104		47.441958	4814.402263	438.60958		47.09534	6428.724035	442.14088				1#	48.235239	6928.76862	431.27477		48.235239	6928.76862	431.27477	431.57412	431.57412
47.045582	6932.323442	443.19701		47.498077	4814.174145	438.05236		47.151308	6427.839512	441.6013				1#	48.289947	6928.666009	430.75374		48.289947	6928.666009	430.75374	431.02335	431.02335
47.107343	6932.353725	442.57488		47.55159	4813.701234	437.50582		47.205481	6427.613363	441.03453				1#	48.343887	6928.496838	430.21561		48.343887	6928.496838	430.21561	430.48115	430.48115
47.163878	6932.161927	441.996		47.603263	4813.208119	436.97486		47.25567	6427.854888	440.50569				1#	48.400164	6927.41966	429.66655		48.400164	6927.41966	429.66655	429.93419	429.93419
47.218149	6931.133921	441.47789		47.657606	4813.07867	436.45318		47.309461	6428.352164	440.00229				1#	48.455266	6927.177584	429.10145		48.455266	6927.177584	429.10145	429.38477	429.38477
47.271958	6930.829875	440.92489		47.712793	4812.859425	435.90137		47.364999	6428.358271	439.44567				1#	48.509068	6926.403625	428.5635		48.509068	6926.403625	428.5635	428.84606	428.84606
47.321762	6930.867092	440.39656		47.7679	4812.742313	435.34957		47.418272	6427.812842	438.90385				1#	48.563709	6925.962475	428.01707		48.563709	6925.962475	428.01707	428.30298	428.30298
47.372362	6930.811985	439.89421		47.822351	4812.658565	434.80296		47.469203	6428.159606	438.3716				1#	48.617749	6925.656424	427.47641		48.617749	6925.656424	427.47641	427.73756	427.73756
47.426348	6931.364815	439.38894		47.877389	4812.246257	434.25303		47.523047	6427.593723	437.86413				1#	48.672557	6925.475695	426.92963		48.672557	6925.475695	426.92963	427.23311	427.23311
47.480609	6930.976081	438.85048		47.931674	4812.03398	433.7059		47.57782	6427.76916	437.32012				1#	48.726856	6925.15358	426.38495		48.726856	6925.15358	426.38495	426.70836	426.70836
47.535781	6931.382617	438.30804		47.980844	4811.265617	433.17985		47.633959	6427.496796	436.77409				1#	48.781679	6924.92832	425.83636		48.781679	6924.92832	425.83636	426.15324	426.15324
47.588866	6931.650474	437.75714		48.036563	4811.299055	432.67295		47.688843	6427.049761	436.20974				1#	48.836505	6924.332885	425.28892		48.836505	6924.332885	425.28892	425.61196	425.61196
47.639137	6931.133315	437.22902		48.091482	4811.115165	432.11251		47.743719	6426.808996	435.66133				1#	48.891393	6923.865357	424.73936		48.891393	6923.865357	424.73936	425.07387	425.07387
47.693952	6930.978099	436.71369		48.145526	4810.195325	431.57412		47.79786	6426.76848	435.11784				1#	48.945621	6923.460299	424.19668		48.945621	6923.460299	424.19668	424.50891	424.50891
47.748799	6930.640337	436.16566		48.200276	4809.713299	431.02335		47.851902	6426.348172	434.57866				1#	49.00159	6923.089994	423.64261		49.00159	6923.089994	423.64261	423.96113	423.96113
47.802585	6930.870488	435.62781		48.254677	4809.651205	430.48115		47.906919	6426.371651	434.02964				1#	49.054207	6923.185898	423.06729		49.054207	6923.185898	423.06729	423.42122	423.42122
47.857442	6929.988287	435.07855		48.309422	4809.377972	429.93419		47.960474	6426.249316	433.4884				1#	49.106383	6922.812046	422.56956		49.106383	6922.812046	422.56956	422.88769	422.88769
47.912052	6929.917876	434.53276		48.36437	4807.503526	429.38477		48.015034	6425.534269	432.94557				1#	49.16034	6922.247095	422.04796		49.16034	6922.247095	422.04796	422.35663	422.35663
47.966707	6929.714771	433.98683		48.418475	4807.005446	428.84606		48.069863	6425.215617	432.40055				1#	49.215609	6922.115144	421.49687		49.215609	6922.115144	421.49687	421.81178	421.81178
48.021534	6929.814704	433.43763		48.475347	4807.079603	428.30298		48.119523	6424.86585	431.85934				1#	49.269791	6921.87184	420.9576		49.269791	6921.87184	420.9576	421.2777	421.2777
48.076966	6929.859891	432.88619		48.524701	4806.043522	427.73756		48.170447	6424.639379	431.36358				1#	49.323457	6921.245312	420.41785		49.323457	6921.245312	420.41785	420.73832	420.73832
48.131694	6929.636369	432.33768		48.577454	4805.964129	427.23311		48.224965	6424.631731	430.85077				1#	49.378372	6920.644133	419.87088		49.378372	6920.644133	419.87088	420.21738	420.21738
48.183905	6929.351161	431.7744		48.631926	4804.947224	426.70836		48.279385	6423.877133	430.3015				1#	49.432631	6920.14864	419.32748		49.432631	6920.14864	419.32748	419.728	419.728
48.235239	6928.76862	431.27477		48.687177	4804.729748	426.15324		48.3346	6423.665899	429.75776				1#	49.487982	6919.849878	418.78845		49.487982	6919.849878	418.78845	419.23919	419.23919
48.289947	6928.666009	430.75374		48.741447	4804.202119	425.61196		48.388296	6423.841466	429.20944				1#	49.537401	6919.788076	418.23607		49.537401	6919.788076	418.23607	418.72425	418.72425
48.343887	6928.496838	430.21561		48.795766	4803.188446	425.07387		48.443238	6423.496636	428.66518				1#	49.589676	6918.855334	417.7371		49.589676	6918.855334	417.7371	418.16864	418.16864
48.400164	6927.41966	429.66655		48.852333	4802.772274	424.50891		48.498373	6423.001595	428.11188				1#	49.643471	6918.545303	417.20676		49.643471	6918.545303	417.20676	417.61704	417.61704
48.455266	6927.177584	429.10145		48.906638	4802.189855	423.96113		48.552702	6422.380617	427.5753				1#	49.696466	6917.899126	416.67272		49.696466	6917.899126	416.67272	417.07451	417.07451
48.509068	6926.403625	428.5635		48.96056	4801.976788	423.42122		48.605821	6421.741354	427.0318				1#	49.750333	6917.939254	416.14772		49.750333	6917.939254	416.14772	416.52389	416.52389
48.563709	6925.962475	428.01707		49.012435	4801.335662	422.88769		48.657531	6421.818247	426.49695				1#	49.801228	6917.147977	415.61368		49.801228	6917.147977	415.61368	415.97369	415.97369
48.617749	6925.656424	427.47641		49.067714	4800.518435	422.35663		48.712818	6421.408863	425.97075				1#	49.856824	6916.850427	415.08675		49.856824	6916.850427	415.08675	415.43342	415.43342
48.672557	6925.475695	426.92963		49.120693	4800.291851	421.81178		48.768292	6421.621211	425.41571				1#	49.911331	6916.224767	414.5374		49.911331	6916.224767	414.5374	414.89523	414.89523
48.726856	6925.15358	426.38495		49.172916	4800.033178	421.2777		48.822922	6420.707609	424.86759				1#	49.967866	6916.500075	413.98715		49.967866	6916.500075	413.98715	414.36257	414.36257
48.781679	6924.92832	425.83636		49.228037	4799.569277	420.73832		48.879702	6420.273785	424.31358				1#	50.022129	6915.686878	413.43708		50.022129	6915.686878	413.43708	413.85241	413.85241
48.836505	6924.332885	425.28892		49.276308	4798.55553	420.21738		48.934286	6418.809603	423.75735				1#	50.076815	6915.300057	412.89196		50.076815	6915.300057	412.89196	413.31455	413.31455
48.891393	6923.865357	424.73936		49.325767	4797.994817	419.728		48.989572	6418.55683	423.19824				1#	50.131034	6915.146867	412.33786		50.131034	6915.146867	412.33786	412.75198	412.75198
48.945621	6923.460299	424.19668		49.376442	4797.571594	419.23919		49.045759	6417.556091	422.66065				1#	50.182017	6913.941624	411.79543		50.182017	6913.941624	411.79543	412.20132	412.20132
49.00159	6923.089994	423.64261		49.430492	4797.178232	418.72425		49.101155	6418.120433	422.08768				1#	50.237095	6913.505469	411.28753		50.237095	6913.505469	411.28753	411.62718	411.62718
49.054207	6923.185898	423.06729		49.486162	4796.282056	418.16864		49.156147	6417.280896	421.53664				1#	50.292485	6912.98136	410.72947		50.292485	6912.98136	410.72947	411.07619	411.07619
49.106383	6922.812046	422.56956		49.541066	4795.463311	417.61704		49.210769	6417.402876	420.9886				1#	50.34665	6912.442982	410.18524		50.34665	6912.442982	410.18524	410.51461	410.51461
49.16034	6922.247095	422.04796		49.595654	4795.368774	417.07451		49.26494	6416.579875	420.44604				1#	50.401215	6911.743841	409.64817		50.401215	6911.743841	409.64817	409.96221	409.96221
49.215609	6922.115144	421.49687		49.650562	4794.779116	416.52389		49.319898	6416.05425	419.90076				1#	50.455846	6911.236406	409.09813		50.455846	6911.236406	409.09813	409.42046	409.42046
49.269791	6921.87184	420.9576		49.705482	4793.974719	415.97369		49.375195	6415.430687	419.34634				1#	50.510178	6910.849728	408.5542		50.510178	6910.849728	408.5542	408.86801	408.86801
49.323457	6921.245312	420.41785		49.759359	4793.368504	415.43342		49.429443	6414.654231	418.80232				1#	50.564111	6910.350496	408.01074		50.564111	6910.350496	408.01074	408.32856	408.32856
49.378372	6920.644133	419.87088		49.812844	4792.842958	414.89523		49.482388	6414.204526	418.26208				1#	50.619157	6909.829645	407.46637		50.619157	6909.829645	407.46637	407.78167	407.78167
49.432631	6920.14864	419.32748		49.862876	4792.478748	414.36257		49.531739	6414.04063	417.73542				1#	50.674134	6909.384698	406.91554		50.674134	6909.384698	406.91554	407.25232	407.25232
49.487982	6919.849878	418.78845		49.917556	4791.656781	413.85241		49.581232	6413.282632	417.2442				1#	50.728707	6908.751436	406.36364		50.728707	6908.751436	406.36364	406.75504	406.75504
49.537401	6919.788076	418.23607		49.972774	4790.855353	413.31455		49.631445	6413.460437	416.74598				1#	50.782827	6908.206325	405.82857		50.782827	6908.206325	405.82857	406.21657	406.21657
49.589676	6918.855334	417.7371		50.027704	4790.37153	412.75198		49.685548	6413.386948	416.24511				1#	50.836792	6907.562086	405.27822		50.836792	6907.562086	405.27822	405.69238	405.69238
49.643471	6918.545303	417.20676		50.086141	4789.829569	412.20132		49.740092	6412.79523	415.69407				1#	50.887497	6907.22904	404.75006		50.887497	6907.22904	404.75006	405.19326	405.19326
49.696466	6917.899126	416.67272		50.140192	4788.970591	411.62718		49.794451	6412.536359	415.15193				1#	50.942476	6906.705499	404.22734		50.942476	6906.705499	404.22734	404.64402	404.64402
49.750333	6917.939254	416.14772		50.19543	4787.91679	411.07619		49.848958	6411.265186	414.60942				1#	50.996518	6905.833766	403.69043		50.996518	6905.833766	403.69043	404.07643	404.07643
49.801228	6917.147977	415.61368		50.251756	4787.393276	410.51461		49.902691	6411.580059	414.06681				1#	51.051353	6905.94608	403.14282		51.051353	6905.94608	403.14282	403.52533	403.52533
49.856824	6916.850427	415.08675		50.306672	4786.704072	409.96221		49.953275	6411.127601	413.52697				1#	51.105257	6905.2326	402.60011		51.105257	6905.2326	402.60011	402.97684	402.97684
49.911331	6916.224767	414.5374		50.360644	4786.263088	409.42046		50.007326	6410.23647	413.02347				1#	51.160267	6904.409816	402.04661		51.160267	6904.409816	402.04661	402.43871	402.43871
49.967866	6916.500075	413.98715		50.416183	4785.471282	408.86801		50.061247	6409.969926	412.48599				1#	51.210008	6904.034202	401.51356		51.210008	6904.034202	401.51356	401.89598	401.89598
50.022129	6915.686878	413.43708		50.47018	4784.79671	408.32856		50.116861	6409.276461	411.93947				1#	51.264355	6903.665556	401.00881		51.264355	6903.665556	401.00881	401.34632	401.34632
50.076815	6915.300057	412.89196		50.52406	4784.517436	407.78167		50.171494	6408.906754	411.37902				1#	51.317927	6903.340329	400.47127		51.317927	6903.340329	400.47127	400.80294	400.80294
50.131034	6915.146867	412.33786		50.573404	4783.507342	407.25232		50.226936	6407.992575	410.82587				1#	51.372452	6902.627253	399.92719		51.372452	6902.627253	399.92719	400.256	400.256
50.182017	6913.941624	411.79543		50.626033	4782.985645	406.75504		50.284787	6407.529566	410.25026				1#	51.42636	6902.446249	399.38881		51.42636	6902.446249	399.38881	399.71178	399.71178
50.237095	6913.505469	411.28753		50.680517	4782.205508	406.21657		50.33937	6406.889346	409.7044				1#	51.481779	6901.774028	398.83774		51.481779	6901.774028	398.83774	399.16101	399.16101
50.292485	6912.98136	410.72947		50.729686	4781.535344	405.69238		50.395119	6406.442648	409.1456				1#	51.535862	6901.554349	398.29666		51.535862	6901.554349	398.29666	398.62272	398.62272
50.34665	6912.442982	410.18524		50.783592	4780.840744	405.19326		50.450272	6405.302345	408.60233				1#	51.589928	6900.934683	397.75392		51.589928	6900.934683	397.75392	398.05711	398.05711
50.401215	6911.743841	409.64817		50.839697	4780.072073	404.64402		50.504924	6404.660186	408.04835				1#	51.644455	6900.43252	397.21304		51.644455	6900.43252	397.21304	397.50678	397.50678
50.455846	6911.236406	409.09813		50.895672	4779.637962	404.07643		50.559737	6404.193866	407.49975				1#	51.695341	6899.487159	396.65856		51.695341	6899.487159	396.65856	396.96112	396.96112
50.510178	6910.849728	408.5542		50.950264	4778.819516	403.52533		50.613852	6403.885798	406.95679				1#	51.750278	6899.246871	396.16001		51.750278	6899.246871	396.16001	396.41531	396.41531
50.564111	6910.350496	408.01074		51.004755	4778.35363	402.97684		50.668577	6403.460737	406.41163				1#	51.803384	6898.917621	395.60695		51.803384	6898.917621	395.60695	395.92296	395.92296
50.619157	6909.829645	407.46637		51.058882	4778.09768	402.43871		50.723237	6402.394032	405.86317				1#	51.853945	6898.553127	395.08906		51.853945	6898.553127	395.08906	395.39178	395.39178
50.674134	6909.384698	406.91554		51.113388	4777.136226	401.89598		50.77801	6401.746276	405.31573				1#	51.907897	6897.800629	394.57228		51.907897	6897.800629	394.57228	394.82642	394.82642
50.728707	6908.751436	406.36364		51.168378	4776.339237	401.34632		50.831734	6401.038364	404.77729				1#	51.962411	6896.952546	394.02821		51.962411	6896.952546	394.02821	394.28306	394.28306
50.782827	6908.206325	405.82857		51.222497	4775.3437	400.80294		50.886894	6400.712731	404.23164				1#	52.016306	6896.168446	393.4882		52.016306	6896.168446	393.4882	393.74277	393.74277
50.836792	6907.562086	405.27822		51.277182	4774.888871	400.256		50.940825	6399.94957	403.68421				1#	52.072063	6895.496601	392.93955		52.072063	6895.496601	392.93955	393.19744	393.19744
50.887497	6907.22904	404.75006		51.331991	4774.233993	399.71178		50.995741	6399.679864	403.13998				1#	52.126904	6895.17695	392.38299		52.126904	6895.17695	392.38299	392.65036	392.65036
50.942476	6906.705499	404.22734		51.386498	4773.486269	399.16101		51.050529	6398.920474	402.59377				1#	52.178028	6894.353144	391.8287		52.178028	6894.353144	391.8287	392.09652	392.09652
50.996518	6905.833766	403.69043		51.442262	4772.51106	398.62272		51.105509	6398.167639	402.03903				1#	52.230659	6893.679487	391.32691		52.230659	6893.679487	391.32691	391.54385	391.54385
51.051353	6905.94608	403.14282		51.497134	4772.286619	398.05711		51.160145	6397.131743	401.49228				1#	52.284494	6893.220713	390.80879		52.284494	6893.220713	390.80879	391.00372	391.00372
51.105257	6905.2326	402.60011		51.552234	4771.6012	397.50678		51.215274	6395.697711	400.94578				1#	52.340745	6892.843792	390.25121		52.340745	6892.843792	390.25121	390.46096	390.46096
51.160267	6904.409816	402.04661		51.606875	4770.317717	396.96112		51.271754	6394.81749	400.37779				1#	52.396279	6892.21114	389.70869		52.396279	6892.21114	389.70869	389.96822	389.96822
51.210008	6904.034202	401.51356		51.657048	4770.10919	396.41531		51.325554	6394.375129	399.83368				1#	52.450957	6891.633963	389.14996		52.450957	6891.633963	389.14996	389.44886	389.44886
51.264355	6903.665556	401.00881		51.709561	4769.773345	395.92296		51.375249	6393.853726	399.30736				1#	52.505745	6890.845034	388.59602		52.505745	6890.845034	388.59602	388.90267	388.90267
